merchant_name,category,match_type,note
관리비,고정지출,contains,주거
도시가스,고정지출,contains,주거
보험,고정지출,contains,
수도요금,고정지출,contains,주거
알뜰폰,고정지출,contains,통신
월세,고정지출,contains,주거
전기,고정지출,contains,기존 _RULES
전세,고정지출,contains,주거
통신,고정지출,contains,기존 _RULES
ANTHROPIC,고정지출,prefix,해외 구독 결제
DB손해보험,고정지출,prefix,보험
KB손해보험,고정지출,prefix,보험
KT,고정지출,prefix,통신
LG유플러스,고정지출,prefix,통신
NETFLIX,고정지출,prefix,정기구독
OPENAI,고정지출,prefix,정기구독
SKT,고정지출,prefix,통신
SK텔레콤,고정지출,prefix,통신
YOUTUBEPREMIUM,고정지출,prefix,정기구독
넷플릭스,고정지출,prefix,정기구독
디즈니플러스,고정지출,prefix,정기구독
라프텔,고정지출,prefix,정기구독
리디,고정지출,prefix,리디북스 포함 · 구독제
메리츠화재,고정지출,prefix,보험
멜론,고정지출,prefix,정기구독
밀리의서재,고정지출,prefix,정기구독 / 도서 성격도 있음
벅스,고정지출,prefix,정기구독
삼성화재,고정지출,prefix,보험
스포티파이,고정지출,prefix,정기구독
왓챠,고정지출,prefix,정기구독
웨이브,고정지출,prefix,정기구독
유튜브프리미엄,고정지출,prefix,정기구독
지니뮤직,고정지출,prefix,정기구독
챗GPT,고정지출,prefix,정기구독
쿠팡플레이,고정지출,prefix,정기구독
티빙,고정지출,prefix,정기구독
플로,고정지출,prefix,정기구독
한국전력,고정지출,prefix,주거
현대해상,고정지출,prefix,보험
ITX,교통,contains,기존 _RULES
KTX,교통,contains,기존 _RULES
고속버스,교통,contains,
버스,교통,contains,기존 _RULES
시외버스,교통,contains,
주유소,교통,contains,
주차장,교통,contains,
지하철,교통,contains,
카카오택시,교통,contains,기존 _RULES
택시,교통,contains,
통행료,교통,contains,
티맵,교통,contains,기존 _RULES
하이패스,교통,contains,
GS칼텍스,교통,prefix,주유
S-OIL,교통,prefix,주유
SK에너지,교통,prefix,주유
SRT,교통,prefix,
그린카,교통,prefix,
따릉이,교통,prefix,
모바일티머니,교통,prefix,티머니 prefix로는 안 잡힘
서울교통공사,교통,prefix,
쏘카,교통,prefix,
우버,교통,prefix,
카카오T,교통,prefix,카카오택시 포함
캐시비,교통,prefix,
코레일,교통,prefix,
타다,교통,prefix,
티머니,교통,prefix,
현대오일뱅크,교통,prefix,주유
경조사,모임/기타,contains,
기프티콘,모임/기타,contains,선물
꽃집,모임/기타,contains,선물
조의금,모임/기타,contains,
축의금,모임/기타,contains,
화훼,모임/기타,contains,선물
회비,모임/기타,contains,
카카오톡선물하기,모임/기타,prefix,선물
PC방,문화/여가,contains,
PC카페,문화/여가,contains,
게스트하우스,문화/여가,contains,여행
공연,문화/여가,contains,
노래방,문화/여가,contains,
노래연습장,문화/여가,contains,
당구장,문화/여가,contains,
방탈출,문화/여가,contains,
보드게임,문화/여가,contains,
볼링,문화/여가,contains,기존 _RULES
볼링장,문화/여가,contains,
전시,문화/여가,contains,
코인노래방,문화/여가,contains,
콘서트,문화/여가,contains,
펜션,문화/여가,contains,여행
호텔,문화/여가,contains,여행
CGV,문화/여가,prefix,영화
STEAM,문화/여가,prefix,게임
구글플레이,문화/여가,prefix,게임/앱 결제
네이버웹툰,문화/여가,prefix,
넥슨,문화/여가,prefix,게임
넷마블,문화/여가,prefix,게임
놀유니버스,문화/여가,prefix,인터파크·야놀자 통합 법인
닌텐도,문화/여가,prefix,게임
대한항공,문화/여가,prefix,여행 · 교통으로 볼 여지 있음
롯데시네마,문화/여가,prefix,영화
메가박스,문화/여가,prefix,영화
멜론티켓,문화/여가,prefix,공연 · 멜론보다 먼저 매칭
모두투어,문화/여가,prefix,여행
부킹닷컴,문화/여가,prefix,여행
스팀,문화/여가,prefix,게임 · STEAM 포함
씨네큐,문화/여가,prefix,영화
아고다,문화/여가,prefix,여행
아시아나항공,문화/여가,prefix,여행
앱스토어,문화/여가,prefix,게임/앱 결제
야놀자,문화/여가,prefix,여행
에어부산,문화/여가,prefix,여행
에어비앤비,문화/여가,prefix,여행
여기어때,문화/여가,prefix,여행
예스24티켓,문화/여가,prefix,공연 · 예스24보다 먼저 매칭
인터파크,문화/여가,prefix,공연
제주항공,문화/여가,prefix,여행
진에어,문화/여가,prefix,여행
카카오페이지,문화/여가,prefix,
티웨이항공,문화/여가,prefix,여행
티켓링크,문화/여가,prefix,공연
플레이스테이션,문화/여가,prefix,게임
하나투어,문화/여가,prefix,여행
건강검진,생활,contains,건강/의료
내과,생활,contains,건강/의료
드럭스토어,생활,contains,기존 _RULES
병원,생활,contains,건강/의료
보건소,생활,contains,건강/의료
산부인과,생활,contains,건강/의료
세탁,생활,contains,
안과,생활,contains,건강/의료
약국,생활,contains,건강/의료
의원,생활,contains,건강/의료
이비인후과,생활,contains,건강/의료
정신건강의학과,생활,contains,건강/의료
정형외과,생활,contains,건강/의료
